"VIV_SEL","TLOC","REGION","EST_DIS","UPM_DIS","P1_1","P1_2","FAC_VIV","UPM"
10,3,1,6,124,3,1,1919,208036
12,3,1,6,124,5,1,1919,208036
13,3,1,6,124,3,1,1919,208036
14,3,1,6,124,5,1,1919,208036
16,3,1,6,124,1,1,1919,208036
17,3,1,6,124,5,1,1919,208036
18,3,1,6,124,6,1,1919,208036
19,3,1,6,124,3,1,1919,208036
20,3,1,6,124,6,1,1919,208036
1,1,1,8,125,1,1,3073,208206
2,1,1,8,125,4,1,3073,208206
4,1,1,8,125,6,1,3073,208206
5,1,1,8,125,4,1,3073,208206
1,4,1,7,126,1,1,1202,260206
2,4,1,7,126,5,1,1202,260206
3,4,1,7,126,6,1,1202,260206
5,4,1,7,126,2,1,1202,260206
6,4,1,7,126,7,1,1202,260206
7,4,1,7,126,2,1,1202,260206
8,4,1,7,126,6,1,1202,260206
9,4,1,7,126,3,1,1202,260206
10,4,1,7,126,2,1,1202,260206
11,4,1,7,126,6,1,1202,260206
12,4,1,7,126,3,1,1202,260206
13,4,1,7,126,5,1,1202,260206
14,4,1,7,126,4,1,1202,260206
15,4,1,7,126,3,1,1202,260206
16,4,1,7,126,3,1,1202,260206
17,4,1,7,126,5,1,1202,260206
19,4,1,7,126,4,1,1202,260206
20,4,1,7,126,4,1,1202,260206
21,4,1,7,126,5,1,1202,260206
22,4,1,7,126,3,1,1202,260206
23,4,1,7,126,5,1,1202,260206
1,4,1,7,127,5,1,3436,260387
3,4,1,7,127,4,1,3436,260387
5,4,1,7,127,4,1,3436,260387
7,4,1,7,127,2,1,3436,260387
8,4,1,7,127,3,1,3436,260387
9,4,1,7,127,2,1,3436,260387
10,4,1,7,127,4,1,3436,260387
11,4,1,7,127,1,1,3436,260387
