"VIV_SEL","HOGAR","P3_2","P3_5","P4_1","P4_5","P5_1_3","P5_1_4","P5_1_6","P5_1_5","P5_1_1","P5_1_2","P6_1_4","P6_1_3","P6_1_1","P6_1_2","P6_1_5","P9_1","P10_1","P11_3_1","P11_3_2","P11_3_4","P14_1","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","FOLIO","FAC_ELE","GRA","NIV","P10_4","N_REN","P3_11","P5_23","P6_2_2","P6_17","P8_1","P10_7","P11_3_9","P14_2_3","P14_2_2","P14_2_1","P14_2_4","EDICION","REGION"
2,1,1,5,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,1,2,30,2,24,3362611,22366,3,3,1,2,1,1,2,1,2,2,2,2,2,2,2,1,
2,2,5,5,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,30,2,24,3362611,22366,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,
10,1,4,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,35,5,25,3362828,10298,3,6,2,1,1,1,2,2,2,2,1,2,2,2,2,1,
2,1,5,5,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,45,5,25,3362828,15447,3,3,2,2,2,1,1,2,2,1,1,2,2,2,2,1,
11,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,43,5,25,3362828,10298,3,6,1,2,1,2,2,2,1,2,2,2,2,2,1,1,
18,1,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,42,5,25,3362828,15447,3,3,2,2,1,2,2,3,2,2,2,2,2,2,1,1,
1,1,6,4,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,20,5,25,3362828,15447,3,7,1,3,1,1,2,3,2,2,2,2,2,2,2,1,
3,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,29,4,12,3361596,20521,4,8,1,2,1,2,2,3,1,1,2,2,2,2,2,1,
1,1,5,3,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,29,3,9,3361482,11977,4,8,2,2,1,1,1,2,2,2,2,1,2,1,2,1,
1,1,6,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,33,3,14,3361645,15834,3,6,1,3,1,2,1,1,1,1,2,2,1,2,2,1,
20,1,6,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2,43,5,25,3362828,5149,3,6,1,1,1,2,1,1,1,2,2,2,2,1,2,1,
3,1,5,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,30,3,10,3361518,10692,2,8,1,1,1,1,1,3,1,1,2,2,2,1,2,1,
2,1,5,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,60,4,7,3361382,19166,3,6,2,3,1,2,1,3,1,1,2,1,1,1,2,1,
4,1,5,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1,34,9,26,3363058,8446,3,3,2,1,1,2,2,3,2,2,1,2,2,1,2,1,
8,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,41,9,26,3363058,12669,3,3,2,1,1,2,2,3,2,2,1,2,2,1,2,1,
9,1,5,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,2,20,9,26,3363058,21115,2,8,1,5,1,2,2,3,2,1,2,2,2,2,2,1,
18,1,3,8,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,3,1,46,9,26,3363058,4223,6,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,
10,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,3,1,30,9,26,3363058,8446,3,3,2,1,1,2,2,3,2,2,2,2,2,2,1,1,
5,1,6,4,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,2,21,9,26,3363058,12669,3,8,2,3,1,1,1,2,1,1,2,2,2,2,2,1,
7,1,6,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,3,2,22,9,26,3363058,21115,3,8,1,3,1,2,1,1,2,2,2,2,2,2,2,1,
3,1,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,54,9,26,3363058,12669,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,1,
11,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,19,9,26,3363058,8446,1,3,1,2,1,1,2,2,2,1,1,2,2,2,2,1,
2,1,6,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,54,12,27,3420753,12585,0,0,2,1,2,2,2,3,2,2,1,1,2,1,2,1,
4,1,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,40,12,27,3420753,8390,3,3,2,1,2,2,1,1,2,2,1,2,2,2,2,1,
11,1,5,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,4,1,51,12,27,3420753,8390,3,3,2,2,1,2,2,1,2,1,1,2,1,2,2,1,
13,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,9,2,2,2,1,1,4,1,23,12,27,3420753,29365,3,3,1,5,1,2,2,2,1,1,2,2,2,2,2,1,
9,1,5,1,2,2,2,2,1,1,2,2,2,1,2,2,2,9,2,1,2,2,1,4,1,68,12,27,3420753,16780,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,
5,1,6,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,59,12,27,3420753,4195,6,2,2,1,1,2,2,3,2,2,1,1,2,1,2,1,
8,1,5,5,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,2,22,12,27,3420753,8390,3,6,1,2,2,1,1,2,2,1,2,2,2,1,2,1,
6,1,5,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,1,56,12,27,3420753,16780,3,3,1,1,2,2,2,2,2,2,1,2,1,1,2,1,
14,1,6,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,4,1,28,12,27,3420753,29365,3,3,2,3,1,2,2,3,2,2,1,2,2,2,2,1,
16,1,5,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,4,1,35,12,27,3420753,8390,3,3,1,1,2,1,2,3,2,2,2,2,1,1,2,1,
1,1,5,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,4,2,29,12,27,3420753,8390,3,6,2,2,1,1,1,2,2,2,2,2,2,1,2,1,
1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,22,3,6,3361165,11471,2,6,1,2,1,1,1,2,1,2,2,2,2,2,2,1,
1,1,5,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,54,4,17,3362005,11410,6,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,
2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,24,3,20,3362330,9541,3,3,1,1,1,2,1,2,1,2,2,2,1,1,2,1,
4,1,5,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,27,2,18,3362202,10426,3,3,2,1,1,2,2,2,2,1,2,2,2,1,2,1,
3,1,2,5,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,69,2,18,3362202,10426,4,2,2,1,2,2,2,3,2,2,1,2,2,2,2,1,
4,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,2,28,3,6,3361165,11471,3,6,1,2,1,2,2,2,1,2,2,2,2,1,2,1,
3,1,5,8,2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,2,50,2,2,3360800,16635,3,4,1,2,1,2,2,1,1,1,2,1,1,1,2,1,
3,1,6,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,24,3,6,3361165,17206,4,8,1,3,1,2,2,2,1,1,1,2,1,2,1,1,
4,1,5,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,36,2,2,3360800,11090,5,8,2,1,1,1,2,2,1,1,2,1,1,2,2,1,
3,1,6,1,2,1,2,2,2,2,2,2,2,2,2,2,2,9,1,1,2,2,1,1,1,19,3,9,3361482,17966,3,6,1,3,1,2,2,1,1,1,2,2,2,2,2,1,
4,1,5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,56,4,7,3361382,25555,2,9,1,1,1,2,1,3,1,1,2,1,1,1,2,1,
5,1,5,1,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,50,4,7,3361382,31944,5,8,2,1,1,1,1,2,1,2,2,2,1,1,2,1,
4,1,6,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,32,4,12,3361596,13681,5,8,1,1,1,2,2,3,2,2,2,2,1,2,2,1,
4,1,6,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,21,3,5,3361164,28086,3,6,1,4,1,2,2,2,1,1,2,2,2,2,2,1,
